Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Craig Kimbrel,NYM,RP,18.2,21,1,0,4.19,1.32,8,15,9,3,19,0,1,0,0,0,,0,18,-4.022378574,186,331,,,,,
Casey Legumina,SEA,RP,48.3,47,3,0,4.17,1.31,22,44,19,6,46,0,3,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Michael Kopech,,RP,39.7,43,2,0,4.48,1.42,20,33,23,5,39,0,2,0,0,0,,0,0,-4.022378574,117,402,,,,,
Tyler Alexander,TEX,"SP,RP",71.1,59,4,1,4.56,1.28,36,72,19,11,54,2,4,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Lake Bachar,MIA,RP,49.8,50,3,0,4.32,1.34,24,46,21,7,47,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Yohan Ramirez,PIT,RP,52.3,53,3,0,4.14,1.34,24,48,22,5,49,0,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Austin Warren,NYM,RP,41.3,38,2,0,4.3,1.32,20,39,15,6,38,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Ryan Fernandez,STL,RP,47.6,49,3,0,4.11,1.35,22,43,21,5,46,0,3,0,0,0,,0,16,-4.022378574,,524,,,,,
Colin Selby,BAL,RP,41.9,44,2,0,4,1.32,19,37,18,5,40,0,2,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Connor Prielipp,MIN,SP,56,53,3,0,4.25,1.36,26,55,21,6,35,5,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Yuki Matsui,SD,RP,49.1,49,2,0,4.17,1.33,23,43,22,7,49,0,2,0,0,0,,0,19,-4.022378574,251,276,,,,,
Tim Hill,NYY,RP,64.5,38,4,0,4.08,1.34,29,68,19,6,64,0,3,0,0,0,,0,19,-4.022378574,,528,,,,,
Brandan Bidois,PIT,RP,47,44,2,0,4.51,1.43,24,44,23,6,46,0,3,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Coleman Crow,MIL,SP,19.7,20,1,0,3.73,1.2,8,18,6,2,16,1,1,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Michael Kelly,ATH,RP,58.5,50,3,3,4.61,1.41,30,57,25,8,57,0,3,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Eric Orze,MIN,RP,58.4,58,3,1,4.17,1.36,27,53,26,7,55,0,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Daniel Lynch,KC,RP,59.6,45,3,0,4.35,1.34,29,60,20,8,53,0,3,0,0,0,,0,15,-4.022378574,,533,,,,,
Hayden Harris,ATL,RP,41,46,2,0,3.96,1.3,18,35,18,5,41,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Tyler Phillips,MIA,RP,67.3,50,3,2,4.41,1.38,33,70,23,8,59,0,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Jonathan Loaisiga,ARI,RP,49.9,41,3,1,3.95,1.31,22,50,16,5,49,0,2,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Chase Petty,CIN,SP,45.6,35,2,0,5.13,1.51,26,48,21,7,27,4,4,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Dylan Dodd,ATL,RP,44.1,38,2,0,4.2,1.28,21,45,12,6,40,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Porter Hodge,CHC,RP,32.7,36,2,0,4.11,1.38,15,27,18,4,32,0,2,0,0,0,,0,18,-4.022378574,101,438,,,,,
Hayden Wesneski,HOU,SP,25.7,25,2,0,4.2,1.24,12,24,8,4,17,2,1,0,0,0,,0,18,-4.022378574,239,301,,,,,
Shane Drohan,MIL,SP,36.9,37,2,0,4.1,1.32,17,33,16,5,24,3,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Jack Kochanowicz,LAA,SP,54.2,35,2,0,5.04,1.49,30,59,21,7,28,6,3,0,0,0,,0,18,-4.022378574,,542,,,,,
Taylor Clarke,ARI,RP,57.5,47,3,1,4.34,1.29,28,58,17,8,56,0,3,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Sam Moll,CIN,RP,47,46,3,0,4.23,1.35,22,43,20,5,49,0,2,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Mitchell Parker,WSH,SP,48.1,37,3,0,4.59,1.37,24,50,16,7,27,4,3,0,0,0,,0,21,-4.022378574,224,321,,,,,
Ricky Tiedemann,TOR,SP,18.6,19,1,0,4.27,1.38,9,17,9,2,12,2,1,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Bryan Hudson,NYM,RP,40.2,39,2,0,3.94,1.31,18,36,17,5,38,0,2,0,0,0,,0,20,-4.022378574,,547,,,,,
Juan Morillo,ARI,RP,43.9,40,2,0,4.3,1.49,21,43,23,4,46,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Yariel Rodriguez,TOR,RP,39.5,38,2,0,4.11,1.33,18,34,19,5,38,0,2,0,0,0,,0,19,-4.022378574,236,313,,,,,
Joe Jimenez,ATL,RP,22.2,26,1,0,3.69,1.17,9,19,7,2,22,0,1,0,0,0,,0,22,-4.022378574,,550,,,,,
Ryan Gusto,MIA,"SP,RP",51.4,44,3,0,4.56,1.36,26,52,18,7,32,4,3,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Carter Baumler,TEX,"SP,RP",46.6,40,2,0,4.65,1.41,24,45,21,6,45,0,3,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Justin Bruihl,STL,RP,49.8,45,3,0,4.05,1.34,22,48,19,5,50,0,3,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Andrew Chafin,MIN,RP,48.9,52,2,0,4.13,1.41,22,45,24,5,51,0,3,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Brent Suter,LAA,"SP,RP",63.2,49,2,0,4.39,1.32,31,64,19,9,59,0,3,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
James McArthur,KC,RP,30.8,28,2,0,4.14,1.31,14,30,10,4,30,0,2,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Luis Perales,WSH,"SP,RP",19.3,20,1,0,4.2,1.4,9,17,10,2,18,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Hunter Bigge,TB,RP,46.9,48,2,0,4.17,1.33,22,42,20,6,45,0,2,0,0,0,,0,18,-4.022378574,,558,,,,,
Gordon Graceffo,STL,RP,59.2,47,3,0,4.35,1.35,29,61,19,7,50,0,3,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Nick Raquet,STL,RP,30,24,2,0,4.3,1.37,14,30,11,4,29,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Jose Fermin,LAA,RP,39.7,42,2,0,4.38,1.38,19,35,20,6,41,0,3,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Carlos Vargas,SEA,RP,55.7,43,3,0,4.1,1.34,25,55,20,6,55,0,3,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Zack Kelly,BOS,"SP,RP",55.4,54,3,0,4.32,1.38,27,51,26,7,53,0,3,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Bobby Miller,LAD,SP,21.5,20,1,0,4.59,1.4,11,20,10,3,18,0,1,0,0,0,,0,20,-4.022378574,160,404,,,,,
Alex Lange,KC,RP,47.3,50,3,0,4.06,1.41,21,41,26,5,47,0,2,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Edgardo Henriquez,LAD,RP,42.3,45,2,0,4.26,1.36,20,38,20,5,43,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Jose Suarez,ATL,RP,36.6,35,2,0,4.17,1.31,17,35,13,5,30,0,2,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Steven Cruz,KC,RP,44.4,41,2,0,4.23,1.34,21,41,19,5,44,0,2,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Matt Pushard,STL,RP,52.4,46,3,0,4.26,1.34,25,51,20,7,51,0,3,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Ron Marinaccio,SD,RP,42.1,41,2,0,4.34,1.35,20,38,19,5,40,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Kai-Wei Teng,HOU,"SP,RP",46.3,47,3,0,4.36,1.35,22,43,20,6,33,3,3,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Miguel Ullola,HOU,"SP,RP",16.3,18,2,0,4.03,1.36,7,14,9,2,15,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Evan Sisk,PIT,RP,41,40,2,0,3.89,1.37,18,38,18,4,40,0,2,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
JT Brubaker,SF,RP,56,47,2,0,4.36,1.35,27,55,21,7,48,0,3,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Keider Montero,DET,"SP,RP",57.7,48,3,0,4.55,1.35,29,58,20,9,26,5,3,0,0,0,,0,16,-4.022378574,,575,,,,,
Daniel Espino,CLE,SP,22.3,23,1,0,4.27,1.4,11,20,11,3,19,1,2,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Tyler Ferguson,ATH,RP,51.7,51,3,1,4.28,1.38,25,46,26,6,50,0,3,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Garrett Hawkins,SD,RP,26.8,27,2,0,4.19,1.33,12,24,11,4,26,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Keaton Winn,SF,"SP,RP",46.8,42,2,1,4.12,1.3,21,46,14,5,37,1,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Luke Little,CHC,RP,21.9,25,1,0,3.67,1.38,9,17,13,2,23,0,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Ryan Watson,BOS,"SP,RP",29,25,2,0,4.33,1.35,14,29,10,4,29,0,1,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Kyle Hurt,LAD,RP,39.3,42,2,0,4.26,1.38,19,36,18,5,21,4,2,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Jackson Rutledge,WSH,"SP,RP",59.3,51,3,2,4.71,1.39,31,59,24,9,54,0,3,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Manuel Rodriguez,TB,RP,15.3,14,1,0,3.7,1.24,6,14,5,1,15,0,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Will Klein,LAD,RP,51.2,57,3,0,4.33,1.45,25,45,30,6,50,0,3,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Yaramil Hiraldo,BAL,RP,34.6,37,2,0,4.14,1.27,16,31,13,5,34,0,1,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Brennan Bernardino,COL,"SP,RP",55.7,50,3,0,4.5,1.46,28,56,25,6,58,0,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Colton Gordon,HOU,"SP,RP",32.1,27,2,0,4.38,1.3,16,32,9,5,23,1,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Luinder Avila,KC,RP,37.7,33,2,0,4.26,1.38,18,36,16,4,34,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Chase Lee,TOR,RP,27.9,27,2,0,4.07,1.25,13,26,9,4,27,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
DJ Herz,WSH,SP,24.9,27,1,0,4.14,1.35,11,21,12,3,15,2,1,0,0,0,,0,24,-4.022378574,157,434,,,,,
Bailey Falter,KC,SP,68.3,50,3,0,4.68,1.35,36,69,23,10,40,5,4,0,0,0,,0,20,-4.022378574,,592,,,,,
Brandyn Garcia,ARI,RP,36.7,33,2,0,4.14,1.42,17,35,17,3,33,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Cristian Mena,ARI,"SP,RP",19.7,18,1,0,4.17,1.34,9,19,8,2,12,2,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Nate Pearson,HOU,RP,46.1,46,2,0,4.4,1.36,23,42,21,6,44,0,2,0,0,0,,0,22,-4.022378574,,595,,,,,
Zach Maxwell,CIN,RP,37.7,39,2,0,4.63,1.48,19,35,21,5,37,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Rico Garcia,BAL,RP,52.9,54,2,0,4.45,1.37,26,49,23,8,50,0,2,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Easton McGee,MIL,RP,32.4,28,2,0,4.04,1.28,15,31,11,4,29,0,1,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Travis Adams,MIN,"SP,RP",62,49,3,0,4.61,1.39,32,64,22,8,44,2,4,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Anthony Nunez,BAL,RP,23.5,25,2,0,3.99,1.29,10,20,10,3,23,0,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Nick Sandlin,LAA,RP,43.2,45,2,0,4.38,1.32,21,38,20,6,45,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Andrew Walters,CLE,RP,30.6,36,2,0,4.1,1.34,14,25,16,4,31,0,2,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Jose Corniell,TEX,"SP,RP",18.5,17,1,0,3.67,1.18,8,16,6,2,15,0,1,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Karson Milbrandt,MIA,SP,12,10,0,0,4.67,1.49,6,12,6,2,12,0,1,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Tristan Beck,SF,RP,28.6,25,1,0,4.09,1.28,13,27,9,3,23,0,1,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Richard Lovelady,NYM,RP,26.6,24,1,0,4.01,1.29,12,25,9,3,26,0,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Ethan Roberts,CHC,RP,38.2,38,2,0,4.28,1.33,18,35,16,5,37,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Luis Mey,CIN,RP,34.7,33,2,0,4.63,1.54,18,32,21,4,35,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Chris Murphy,CWS,RP,49.2,44,2,0,4.3,1.39,24,45,23,6,42,0,3,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Emiliano Teodo,TEX,RP,15.8,16,1,0,4.63,1.54,8,14,10,2,16,0,1,0,0,0,,0,24,-4.022378574,#N/A,#N/A,,,,,
Joey Lucchesi,SF,RP,27,21,1,0,4.26,1.38,13,27,10,3,24,0,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Connor Brogdon,CLE,RP,50.8,51,3,0,4.52,1.35,26,48,21,8,49,0,3,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Ronel Blanco,HOU,SP,20.7,21,1,0,4.26,1.3,10,18,8,3,10,2,1,0,0,0,,0,23,-4.022378574,82,531,,,,,
Justin Hagenman,NYM,RP,22.4,21,1,0,4.19,1.22,10,22,6,3,19,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Dylan Smith,DET,RP,22.8,21,1,0,4.14,1.35,10,21,10,3,20,0,1,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Yosver Zulueta,SEA,RP,30.7,32,2,0,3.82,1.34,13,26,15,3,29,0,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Andrew Hoffmann,ARI,RP,48.2,44,3,0,4.27,1.38,23,48,19,6,44,0,3,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Philip Abner,ARI,RP,35.3,33,2,0,4.23,1.36,17,34,14,4,36,0,2,0,0,0,,0,24,-4.022378574,#N/A,#N/A,,,,,
Andrew Morris,MIN,SP,18.5,15,1,0,4.18,1.31,9,19,5,2,16,1,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Steven Wilson,TB,RP,44.7,44,2,0,4.67,1.34,23,40,20,7,45,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Reiver Sanmartin,SF,RP,24.8,18,1,0,4.11,1.37,11,26,8,3,24,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Grant Wolfram,BAL,RP,41.8,40,2,0,4.16,1.38,19,40,18,5,40,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Ryan Johnson,LAA,RP,33.2,31,2,0,4.27,1.34,16,34,11,5,20,3,2,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Trent Thornton,CHC,RP,24.7,21,1,0,4.27,1.29,12,24,8,4,24,0,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Carlos Rodriguez,MIL,RP,32.3,30,1,0,4.37,1.32,16,30,13,5,24,2,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Kyle Hart,SD,"SP,RP",36.8,32,2,0,4.4,1.33,18,36,14,5,30,1,2,0,0,0,,0,22,-4.022378574,,626,,,,,
Yerry De los Santos,NYY,RP,38.5,31,2,0,4.11,1.36,18,37,15,4,36,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Michael Tonkin,,RP,34.1,32,2,0,4.46,1.32,17,33,12,5,32,0,2,0,0,0,,0,0,-4.022378574,#N/A,#N/A,,,,,
Michael Fulmer,SF,RP,14,14,1,0,4.15,1.31,6,13,6,2,14,0,1,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Kyle Backhus,PHI,RP,45.6,44,2,0,4.32,1.35,22,43,19,6,48,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Kyle Nicolas,CIN,RP,41.3,42,2,0,4.3,1.41,20,38,20,5,38,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Tim Mayza,PHI,RP,26.8,22,1,0,4.13,1.36,12,27,9,3,28,0,1,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Brendan Beck,NYY,SP,17.8,15,3,0,4.21,1.34,8,19,5,3,18,0,3,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Kendry Rojas,MIN,SP,34.9,31,2,0,4.32,1.39,17,35,14,4,27,2,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
George Soriano,STL,RP,43.5,41,2,0,4.44,1.36,22,41,18,6,39,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Roddery Munoz,HOU,RP,50.6,51,2,0,4.65,1.4,26,47,24,8,44,0,3,0,0,0,,0,24,-4.022378574,#N/A,#N/A,,,,,
Dylan Ross,NYM,RP,31.2,34,1,0,4.02,1.36,14,26,16,3,31,0,1,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Peyton Pallette,CLE,RP,45,44,2,0,4.47,1.36,22,42,19,6,43,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Danny Young,ATL,RP,16,17,1,0,3.84,1.34,7,14,7,2,17,0,1,0,0,0,,0,24,-4.022378574,#N/A,#N/A,,,,,
Chad Green,,RP,43.2,37,2,0,4.61,1.32,22,43,14,7,43,0,2,0,0,0,,0,0,-4.022378574,139,501,,,,,
Zach McCambley,PHI,"SP,RP",43.1,42,2,0,4.41,1.38,21,40,19,6,42,0,2,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Paxton Schultz,WSH,RP,42.2,39,2,0,4.41,1.36,21,41,17,6,37,0,2,0,0,0,,0,25,-4.022378574,#N/A,#N/A,,,,,
Hunter Stratton,ATL,RP,19.8,18,1,0,4.18,1.32,9,19,7,2,19,0,1,0,0,0,,0,25,-4.022378574,#N/A,#N/A,,,,,
Jesse Scholtens,TB,"SP,RP",33.1,29,1,0,4.41,1.32,16,33,11,5,28,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Carson Seymour,SF,"SP,RP",25.9,22,1,0,4.22,1.38,12,26,10,3,18,1,1,0,0,0,,0,24,-4.022378574,#N/A,#N/A,,,,,
Robinson Ortiz,SEA,"SP,RP",30.5,29,2,0,4.19,1.41,14,27,16,3,30,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Daysbel Hernandez,ATL,RP,32.8,35,2,0,4.34,1.43,16,28,19,4,33,0,2,0,0,0,,0,26,-4.022378574,#N/A,#N/A,,,,,
Kervin Castro,NYY,RP,28.8,27,2,0,4.28,1.35,14,26,13,3,28,0,2,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Evan Reifert,TB,RP,11.1,12,1,0,4.08,1.38,5,10,6,1,11,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Jorge Lopez,,RP,27.8,23,1,0,4.46,1.36,14,28,10,3,28,0,2,0,0,0,,0,0,-4.022378574,174,476,,,,,
Peyton Gray,TEX,RP,28.9,28,2,0,4.19,1.31,13,27,11,4,28,0,2,0,0,0,,0,25,-4.022378574,#N/A,#N/A,,,,,
Troy Taylor,SEA,RP,25.1,23,1,0,4.42,1.41,12,23,12,3,26,0,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Brandon Young,BAL,SP,25.4,22,1,0,4.41,1.32,12,26,8,4,19,2,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Bryan Hoeing,SD,RP,14.5,12,1,0,4.2,1.33,7,14,5,2,12,0,1,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Eduarniel Nunez,ATH,RP,42.6,43,2,0,4.45,1.48,21,38,25,5,41,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Jhony Brito,SD,RP,19.9,16,1,0,4.23,1.32,9,20,7,2,18,0,1,0,0,0,,0,24,-4.022378574,#N/A,#N/A,,,,,
Daison Acosta,SD,RP,22.5,25,1,0,4.08,1.37,10,19,12,2,22,0,1,0,0,0,,0,25,-4.022378574,#N/A,#N/A,,,,,
Beau Brieske,DET,RP,45,39,2,0,4.57,1.38,23,43,20,6,43,0,2,0,0,0,,0,18,-4.022378574,257,401,,,,,
Sean Guenther,DET,RP,15.8,12,1,0,3.83,1.29,7,15,5,2,15,0,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Tyler Gilbert,CWS,"SP,RP",35.6,32,2,0,4.43,1.36,18,34,14,5,34,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Franco Aleman,CLE,RP,20.4,23,1,0,4.09,1.37,9,18,10,3,20,0,1,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
John King,MIA,RP,48.1,31,2,0,4.15,1.39,22,53,14,5,47,0,2,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
J.P. France,HOU,"SP,RP",22.3,19,1,0,4.76,1.43,12,21,11,3,14,2,1,0,0,0,,0,25,-4.022378574,#N/A,#N/A,,,,,
Sammy Peralta,MIL,RP,15.8,14,1,0,4.33,1.32,8,15,5,2,13,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
John Klein,MIN,"SP,RP",42.7,37,2,0,4.61,1.36,22,43,16,6,33,2,3,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Albert Suarez,BAL,"SP,RP",24,20,1,0,4.63,1.36,12,25,8,3,20,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Lazaro Estrada,TOR,"SP,RP",21.1,19,1,0,4.46,1.29,10,21,7,3,18,0,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Jedixson Paez,CWS,SP,39.5,30,2,0,4.41,1.32,19,41,12,6,36,0,2,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
Riley Martin,CHC,RP,18,18,1,0,4.04,1.42,8,16,10,2,18,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Max Lazar,PHI,RP,38.3,31,2,0,4.43,1.32,19,38,12,5,36,0,2,0,0,0,,0,18,-4.022378574,#N/A,#N/A,,,,,
Ryan Borucki,CWS,RP,37.6,36,2,0,3.99,1.33,17,34,16,5,38,0,2,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Zach Pop,PHI,RP,26.5,21,1,0,4.51,1.4,13,27,10,4,27,0,1,0,0,0,,0,19,-4.022378574,#N/A,#N/A,,,,,
Jose Castillo,,RP,20.5,21,2,0,3.73,1.29,9,19,8,2,19,0,1,0,0,0,,0,0,-4.022378574,#N/A,#N/A,,,,,
Jhancarlos Lara,ATL,"SP,RP",13,15,1,0,4.32,1.48,6,12,8,1,13,0,1,0,0,0,,0,27,-4.022378574,#N/A,#N/A,,,,,
RJ Petit,COL,RP,20.2,18,1,0,4.48,1.42,10,21,8,3,21,0,2,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Brycen Mautz,STL,SP,17.3,15,1,0,4.28,1.32,8,17,6,2,15,1,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Ty Adcock,SD,RP,26.1,24,1,0,4.47,1.34,13,25,10,4,25,0,1,0,0,0,,0,26,-4.022378574,#N/A,#N/A,,,,,
Angel Bastardo,TOR,SP,20.4,19,1,0,4.34,1.38,10,19,9,3,17,1,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Domingo Gonzalez,SEA,RP,18.3,17,1,0,4.31,1.36,9,17,8,2,18,0,1,0,0,0,,0,22,-4.022378574,#N/A,#N/A,,,,,
Bailey Horn,DET,RP,30.6,28,2,0,4.38,1.43,15,29,15,4,30,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Pedro Avila,,RP,35.9,33,2,0,4.49,1.41,18,35,15,4,26,1,2,0,0,0,,0,0,-4.022378574,#N/A,#N/A,,,,,
Trevor Stephan,CLE,RP,16.4,15,1,0,4.31,1.33,8,16,6,2,16,0,1,0,0,0,,0,21,-4.022378574,#N/A,#N/A,,,,,
James Karinchak,ATL,RP,22,25,1,0,4.47,1.4,11,19,12,3,22,0,1,0,0,0,,0,28,-4.022378574,#N/A,#N/A,,,,,
Michel Otanez,TEX,RP,18.4,22,1,0,4.26,1.45,9,15,12,2,19,0,1,0,0,0,,0,26,-4.022378574,,684,,,,,
Angel Perdomo,LAA,RP,11.2,13,1,0,4.44,1.38,6,9,6,1,11,0,1,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Grant Holman,ARI,RP,18.4,16,1,0,4.36,1.38,9,18,7,2,19,0,1,0,0,0,,0,25,-4.022378574,#N/A,#N/A,,,,,
Luis Curvelo,TEX,RP,29.1,27,2,0,4.46,1.35,14,27,12,4,28,0,1,0,0,0,,0,27,-4.022378574,#N/A,#N/A,,,,,
Shane Murphy,CWS,RP,19.2,13,1,0,4.57,1.32,10,20,5,3,18,0,1,0,0,0,,0,23,-4.022378574,#N/A,#N/A,,,,,
Chase Shugart,PHI,RP,37.6,31,2,0,4.58,1.38,19,37,15,5,35,0,2,0,0,0,,0,20,-4.022378574,#N/A,#N/A,,,,,
Scott Alexander,,RP,30.5,22,2,0,4.28,1.41,14,32,11,3,32,0,2,0,0,0,,0,0,-4.022378574,#N/A,#N/A,,,,,
