Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Braxton Ashcraft,PIT,"SP,RP",131.9,119,7,0,3.93,1.29,58,129,42,14,37,22,7,0,127,0.9628506444,,127,4,-0.4943113826,#N/A,#N/A,,,,,
Adrian Houser,SF,SP,143.8,104,8,0,4.37,1.37,70,149,48,16,26,26,9,0,127,0.8831710709,,127,3,-0.4943113826,#N/A,#N/A,,,,,
Tyler Mahle,SF,SP,130.5,108,8,0,4.12,1.28,60,127,41,16,24,24,8,0,126,0.9655172414,,126,4,-0.5220914393,221,-116,,,,,
Justin Verlander,DET,SP,139.6,116,8,0,4.42,1.31,69,137,46,20,26,26,8,0,126,0.9025787966,,126,5,-0.5220914393,135,-29,,,,,
Steven Matz,TB,RP,124,105,6,0,4.17,1.28,57,124,34,17,35,20,7,0,126,1.016129032,,126,5,-0.5220914393,,107,,,,,
Kodai Senga,NYM,SP,122.6,123,8,0,3.96,1.31,54,107,54,14,29,21,6,0,125,1.019575856,,125,6,-0.5498714959,55,53,,,,,
Foster Griffin,WSH,RP,133.8,123,7,0,4.15,1.28,62,128,42,17,29,23,8,0,125,0.9342301943,,125,1,-0.5498714959,#N/A,#N/A,,,,,
Davis Martin,CWS,SP,149.4,116,7,0,4.62,1.36,77,151,52,21,28,28,10,0,125,0.8366800535,,125,2,-0.5498714959,,110,,,,,
Michael McGreevy,STL,SP,135.7,94,8,0,4.15,1.29,63,141,33,16,28,23,8,0,124,0.9137803979,,124,3,-0.5776515525,233,-122,,,,,
Taj Bradley,MIN,SP,133.2,127,7,0,4.33,1.3,64,126,47,19,30,24,8,0,124,0.9309309309,,124,3,-0.5776515525,78,34,,,,,
Grayson Rodriguez,LAA,SP,119.9,128,7,0,3.95,1.24,53,109,40,16,22,22,7,0,123,1.025854879,,123,4,-0.6054316091,43,70,,,,,
Cade Cavalli,WSH,SP,133.8,114,7,0,4.29,1.34,64,132,47,16,25,25,8,0,123,0.9192825112,,123,2,-0.6054316091,267,-153,,,,,
Braxton Garrett,MIA,SP,122.6,110,7,0,3.95,1.22,54,121,29,15,29,22,7,1,123,1.003262643,,123,3,-0.6054316091,#N/A,#N/A,,,,,
Cristian Javier,HOU,SP,140,128,8,0,4.67,1.33,73,129,58,22,26,26,9,0,122,0.8714285714,,122,4,-0.6332116658,235,-119,,,,,
Dean Kremer,BAL,SP,136.8,116,8,0,4.41,1.3,67,135,42,21,32,23,8,0,122,0.8918128655,,122,6,-0.6332116658,213,-96,,,,,
Zack Littell,WSH,SP,144.9,108,7,0,4.54,1.26,73,151,31,24,26,25,9,0,122,0.8419599724,,122,3,-0.6332116658,180,-62,,,,,
Andre Pallante,STL,SP,136.7,95,8,0,4.34,1.41,66,140,53,13,26,25,9,0,122,0.8924652524,,122,4,-0.6332116658,193,-74,,,,,
Ian Seymour,TB,"SP,RP",113.3,110,6,0,4.04,1.22,51,103,35,16,38,16,6,0,121,1.067961165,,121,6,-0.6609917224,,120,,,,,
Jacob Lopez,ATH,SP,122.5,129,7,0,4.29,1.29,58,109,49,18,23,23,8,0,121,0.987755102,,121,3,-0.6609917224,#N/A,#N/A,,,,,
Eduardo Rodriguez,ARI,SP,134.1,119,8,0,4.42,1.37,66,135,48,18,28,24,8,0,121,0.9023117077,,121,5,-0.6609917224,177,-55,,,,,
Anthony Kay,CWS,"SP,RP",130.9,109,6,0,4.52,1.39,66,130,52,18,35,21,9,1,121,0.9243697479,,121,3,-0.6609917224,#N/A,#N/A,,,,,
Landen Roupp,SF,SP,121.2,113,7,0,4.08,1.35,55,115,48,13,28,23,7,0,120,0.9900990099,,120,5,-0.688771779,259,-135,,,,,
Kyle Freeland,COL,SP,161.2,118,7,0,5.06,1.42,91,186,43,26,29,29,12,0,120,0.7444168734,,120,1,-0.688771779,,125,,,,,
Parker Messick,CLE,SP,120.4,112,7,0,4.1,1.3,55,115,41,15,23,23,7,0,119,0.988372093,,119,5,-0.7165518357,#N/A,#N/A,,,,,
Sean Burke,CWS,"SP,RP",141,133,7,0,4.79,1.4,75,135,62,23,26,26,10,0,118,0.8368794326,,118,4,-0.7443318923,216,-89,,,,,
Will Warren,NYY,SP,124.8,122,7,0,4.26,1.31,59,118,46,17,35,21,7,0,117,0.9375,,117,5,-0.7721119489,,128,,,,,
Simeon Woods Richardson,MIN,SP,131.7,118,7,0,4.51,1.33,66,126,49,19,29,24,8,0,117,0.8883826879,,117,4,-0.7721119489,238,-109,,,,,
Miles Mikolas,WSH,SP,144.3,95,7,0,4.82,1.32,77,157,33,24,27,27,10,0,117,0.8108108108,,117,4,-0.7721119489,241,-111,,,,,
Zebby Matthews,MIN,SP,116.6,114,7,0,4.1,1.24,53,115,30,17,29,21,7,0,116,0.9948542024,,116,5,-0.7998920055,187,-56,,,,,
Max Meyer,MIA,SP,126.2,116,7,0,4.32,1.32,61,124,42,18,28,23,8,0,116,0.9191759113,,116,4,-0.7998920055,196,-64,,,,,
Ryan Weathers,NYY,SP,116.9,111,7,0,4.07,1.26,53,107,41,16,30,20,6,0,115,0.9837467921,,115,6,-0.8276720622,188,-55,,,,,
Jose Berrios,TOR,SP,116.5,97,7,0,4.4,1.29,57,115,36,18,35,16,7,0,114,0.9785407725,,114,6,-0.8554521188,76,58,,,,,
Kyle Leahy,STL,RP,112.3,93,5,0,4.31,1.35,54,112,40,13,48,14,6,0,109,0.9706144256,,109,5,-0.9943524019,#N/A,#N/A,,,,,
Roki Sasaki,LAD,SP,111.9,109,7,0,4.19,1.31,52,102,44,14,32,19,6,1,108,0.9651474531,,108,6,-1.022132459,42,94,,,,,
Aaron Civale,ATH,"SP,RP",124.2,107,7,0,4.71,1.32,65,124,40,20,23,23,8,0,107,0.8615136876,,107,4,-1.049912515,159,-22,,,,,
Michael Lorenzen,COL,"SP,RP",143.1,114,6,0,5.1,1.45,81,154,52,24,26,26,10,0,107,0.7477288609,,107,2,-1.049912515,245,-107,,,,,
Logan Henderson,MIL,SP,96.9,99,6,0,4.16,1.22,45,87,30,15,27,16,6,0,106,1.093911249,,106,5,-1.077692572,,139,,,,,
Jake Irvin,WSH,SP,121.4,89,6,0,4.86,1.36,65,126,40,20,30,20,8,0,106,0.8731466227,,106,5,-1.077692572,212,-72,,,,,
Chris Paddack,MIA,"SP,RP",130.9,99,6,0,4.77,1.32,69,139,34,22,31,23,8,0,105,0.8021390374,,105,5,-1.105472628,260,-119,,,,,
Jose Quintana,COL,SP,140.1,96,7,0,5.1,1.5,79,156,55,20,25,25,10,0,104,0.7423269094,,104,3,-1.133252685,228,-86,,,,,
Luis Gil,NYY,SP,102.3,101,6,0,4.36,1.34,50,87,50,14,38,14,5,0,103,1.00684262,,103,7,-1.161032742,65,78,,,,,
Lucas Giolito,,SP,116.5,105,7,0,4.65,1.37,60,114,46,18,24,21,8,0,103,0.8841201717,,103,0,-1.161032742,146,-2,,,,,
Hunter Greene,CIN,SP,87.6,107,6,0,3.69,1.12,36,70,28,12,16,15,4,1,101,1.152968037,,101,5,-1.216592855,34,111,,,,,
Bryce Elder,ATL,SP,117.6,96,7,0,4.57,1.38,60,122,40,15,25,20,7,0,101,0.8588435374,,101,5,-1.216592855,#N/A,#N/A,,,,,
Randy Vasquez,SD,SP,129,87,6,0,4.86,1.41,70,135,47,19,30,24,8,0,101,0.7829457364,,101,4,-1.216592855,,147,,,,,
Richard Fitts,STL,SP,117.3,90,6,0,4.52,1.34,59,119,38,17,30,21,7,0,100,0.852514919,,100,6,-1.244372912,,148,,,,,
Luis Morales,ATH,SP,114,101,6,0,4.58,1.36,58,108,46,18,27,20,7,0,98,0.8596491228,,98,5,-1.299933025,#N/A,#N/A,,,,,
Jared Jones,PIT,SP,93.9,95,6,0,3.96,1.24,41,85,32,12,21,17,6,0,98,1.043663472,,98,5,-1.299933025,57,93,,,,,
Michael Soroka,ARI,"SP,RP",93.3,93,5,2,4.12,1.26,43,84,34,12,41,11,5,0,98,1.050375134,,98,6,-1.299933025,254,-103,,,,,
Mick Abel,MIN,SP,110.7,100,6,0,4.63,1.42,57,107,50,15,28,20,7,0,96,0.8672086721,,96,6,-1.355493138,#N/A,#N/A,,,,,
Johan Oviedo,BOS,SP,96,92,5,0,4.3,1.34,46,87,41,12,32,15,5,0,96,1,,96,5,-1.355493138,,153,,,,,
Max Scherzer,TOR,SP,100.6,96,6,0,4.41,1.22,49,95,28,18,28,17,6,0,95,0.944333996,,95,7,-1.383273195,128,26,,,,,
Taijuan Walker,PHI,"SP,RP",116.1,82,6,0,5.01,1.43,65,123,43,19,39,17,7,0,95,0.8182601206,,95,5,-1.383273195,,155,,,,,
Kyle Harrison,MIL,"SP,RP",91.2,91,5,0,4.22,1.31,43,84,36,13,28,15,4,0,94,1.030701754,,94,6,-1.411053251,141,15,,,,,
Justin Steele,CHC,SP,85.3,80,6,0,3.58,1.18,34,78,23,9,16,15,4,0,93,1.090269637,,93,6,-1.438833308,48,109,,,,,
Brad Lord,WSH,"SP,RP",98.6,78,5,0,4.38,1.34,48,99,34,12,40,13,6,0,92,0.9330628803,,92,6,-1.466613365,#N/A,#N/A,,,,,
Andrew Painter,PHI,SP,106.4,93,6,0,4.66,1.37,55,107,39,17,27,19,6,0,91,0.8552631579,,91,6,-1.494393421,142,17,,,,,
Hunter Barco,PIT,"SP,RP",87.7,81,5,0,4.14,1.34,40,81,37,10,35,12,4,0,91,1.037628278,,91,6,-1.494393421,#N/A,#N/A,,,,,
German Marquez,SD,SP,117.7,87,6,0,5.09,1.43,67,127,41,19,26,22,8,0,90,0.7646559048,,90,5,-1.522173478,,161,,,,,
Rhett Lowder,CIN,SP,105.9,82,5,0,4.57,1.35,54,109,35,15,27,19,6,0,89,0.8404154863,,89,6,-1.549953534,164,-2,,,,,
Joe Boyle,TB,"SP,RP",81.4,90,5,0,4.06,1.35,37,67,44,9,27,13,5,0,89,1.093366093,,89,7,-1.549953534,,163,,,,,
Spencer Schwellenbach,ATL,SP,72.1,69,5,0,3.52,1.12,28,65,15,8,12,12,3,0,88,1.220527046,,88,6,-1.577733591,36,128,,,,,
Ryan Weiss,HOU,SP,85.9,83,5,0,4.32,1.32,41,80,33,12,36,10,5,0,88,1.024447031,,88,5,-1.577733591,#N/A,#N/A,,,,,
Kumar Rocker,TEX,SP,94.9,85,5,0,4.23,1.29,45,92,31,12,28,16,6,0,87,0.9167544784,,87,5,-1.605513648,125,41,,,,,
